id	title	story	gender	link	image
0	인비저블 게스트	의문의 습격으로 살해 당한 ‘로라’ ‘아드리안’은 연인의 죽음에 절망하고, 범인은 흔적도 없이 사라졌다. 유력한 용의자로 누명을 쓴 ‘아드리안’은 승률 100%의 변호사 ‘버지니아’를 선임한다. 그리고 자신의 무죄를 입증하기 위해 고군분투하던 중 과거 그와 ‘로라’가 은폐한 교통사고와 숨겨진 연관성을 찾게 되는데… 남은 시간은 단 3시간, 사건을 재구성해 무죄를 입증해야 한다!	N	https://movie.naver.com/movie/bi/mi/basic.nhn?code=159516	https://movie-phinf.pstatic.net/20170828_179/1503887362732snsIK_JPEG/movie_image.jpg?type=f67
1	나, 다니엘 블레이크	평생을 성실하게 목수로 살아가던 다니엘은 지병인 심장병이 악화되어 일을 계속 해나갈 수 없는 상황이 된다. 다니엘은 실업급여를 받기 위해 찾아간 관공서에서 복잡하고 관료적인 절차 때문에 번번히 좌절한다. 그러던 어느 날 다니엘은 두 아이와 함께 런던에서 이주한 싱글맘 케이티를 만나 도움을 주게되고, 서로를 의지하게 되는데...	F	https://movie.naver.com/movie/bi/mi/basic.nhn?code=150376	https://movie-phinf.pstatic.net/20161117_246/1479344102925C9Ens_JPEG/movie_image.jpg?type=f67
2	국가부도의 날	1997년, 대한민국 최고의 경제 호황을 믿어 의심치 않았던 그때, 곧 엄청난 경제 위기가 닥칠 것을 예견한 한국은행 통화정책팀장 ‘한시현’(김혜수)은 이 사실을 보고하고, 정부는 뒤늦게 국가부도 사태를 막기 위한 비공개 대책팀을 꾸린다. 한편, 곳곳에서 감지되는 위기의 시그널을 포착하고 과감히 사표를 던진 금융맨 ‘윤정학’(유아인)은 국가부도의 위기에 투자하는 역베팅을 결심, 투자자들을 모으기 시작한다. 이런 상황을 알 리 없는 작은 공장의 사장이자 평범한 가장 ‘갑수’(허준호)는 대형 백화점과의 어음 거래 계약서에 도장을 찍고 소박한 행복을 꿈꾼다. 국가부도까지 남은 시간 단 일주일. 대책팀 내부에서 위기대응 방식을 두고 시현과 ‘재정국 차관’(조우진)이 강하게 대립하는 가운데, 시현의 반대에도 불구하고 ‘IMF 총재’(뱅상 카셀)가 협상을 위해 비밀리에 입국하는데… 위기를 막으려는 사람과 위기에 베팅하는 사람, 그리고 회사와 가족을 지키려는 평범한 사람, 1997년, 서로 다른 선택을 했던 사람들의 이야기가 시작된다!	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=164192	https://movie-phinf.pstatic.net/20181105_232/1541392865465aVb5V_JPEG/movie_image.jpg?type=f67
3	당갈	전직 레슬링 선수였던 ‘마하비르 싱 포갓(아미르 칸)’은 아버지의 반대로 금메달의 꿈을 이루지 못한 채 레슬링을 포기한다. 아들을 통해 꿈을 이루겠다는 생각은 내리 딸만 넷이 태어나면서 좌절된다. 그러던 어느 날, 두 딸이 또래 남자아이들을 신나게 때린 모습에서 잠재력을 발견하고 레슬링 특훈에 돌입한다. 사람들의 따가운 시선과 조롱에도 불구하고 첫째 기타(파티마 사나 셰이크)와 둘째 바비타(산야 말호트라)는 아버지의 훈련 속에 재능을 발휘, 승승장구 승리를 거두며 국가대표 레슬러로까지 성장해 마침내 국제대회에 출전하는데...	F	https://movie.naver.com/movie/bi/mi/basic.nhn?code=157243	https://movie-phinf.pstatic.net/20180329_2/1522287706725roSen_JPEG/movie_image.jpg?type=f67
4	스파이더맨: 파 프롬 홈	‘엔드게임’ 이후 변화된 세상, 스파이더맨 ‘피터 파커’는 학교 친구들과 유럽 여행을 떠나게 된다. 그런 그의 앞에 ‘닉 퓨리’가 등장해 도움을 요청하고 정체불명의 조력자 ‘미스테리오’까지 합류하게 되면서 전 세계를 위협하는 새로운 빌런 ‘엘리멘탈 크리쳐스’와 맞서야만 하는 상황에 놓이게 되는데…	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=173123	https://movie-phinf.pstatic.net/20190527_181/1558933159657a210P_JPEG/movie_image.jpg?type=f67
5	뚜르: 내 생애 최고의 49일	스물여섯 윤혁은 희귀암 말기 판정을 받지만 운명처럼 찾아온 자전거로 새로운 희망을 꿈꾼다. 생애 최대 좌절의 순간 세계 최고의 자전거 대회 ‘뚜르드프랑스’ 완주를 꿈꾸는 윤혁. 항암치료를 중단하고 그를 위해 모인 9인의 드림팀과 함께 우여곡절 끝에 드디어 프랑스에 입성한다. 하지만 첫 라이딩에서 메카닉은 팔이 부러지고, 팀닥터는 불편한 숙소에 불만이 폭발한다. 현지 코디네이터는 적은 예산과 팀원들의 불신으로 좌괴감에 빠지고, 라이딩 파트너는 체력 고갈로 바람막이는커녕 점점 쉬는 날이 많아진다. 좌충우돌 속에서도 첫번째 고비인 피레네 산맥을 하루만에 넘은 윤혁! 드림팀 멤버들은 다시 심기일전 힘을 모으기로 하는데… 싸우고 화해하고 울고 웃으며 서로의 마음을 하나로 모아가는 드림팀과 윤혁! 한국인 최초 ‘뚜르드프랑스’ 완주의 49일, 3,500km의 뜨거운 도전이 시작된다!	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=142304	https://movie-phinf.pstatic.net/20170126_204/1485395631968tEJPT_JPEG/movie_image.jpg?type=f67
6	곰돌이 푸 다시 만나 행복해	“어른이 된 나 인생의 쉼표가 필요한 순간, 찾아온 나의 친구들 다시 만나 행복해” 어른이 된 나 로빈(이완 맥그리거)은 가족도 일도 모두 완벽해 보이지만, 한편 지쳐가는 일상 속에 서있다. 어느 날, 눈 앞에 가장 행복한 시간을 함께했던 비밀 친구 ‘곰돌이 푸와 일행’들이 다시 찾아오게 되고 뜻하지 않게 놀라운 모험 속에 빠져들게 되는데…	F	https://movie.naver.com/movie/bi/mi/basic.nhn?code=168023	https://movie-phinf.pstatic.net/20181004_77/1538637074180yh287_JPEG/movie_image.jpg?type=f67
7	연인	가난한 10대 프랑스 소녀, 부유한 남자를 허락하고 처음으로 육체적 쾌락을 경험하게 된다. 불우한 가정 환경과 자신에 대한 혐오가 더해 갈수록 소녀는 욕망에 빠져들고 격정적인 관능에 몰입한다. 욕정일 뿐 사랑이 아니라고 부정하지만 평생 잊을 수 없는 운명으로 남게 되는데…. 욕망으로 남기에는 아름다운 세기의 로맨스, 마르그리뜨 뒤라스 소설 <연인>이 스크린으로 다시 돌아온다!	F	https://movie.naver.com/movie/bi/mi/basic.nhn?code=65809	https://ssl.pstatic.net/static/movie/2011/06/poster_default.gif
8	짱구는 못말려 극장판: 정면승부! 로봇아빠의 역습	어느 날, 로봇이 되어 돌아온 짱구 아빠! 짱구는 그 동안 영화에서만 봤던 슈퍼히어로가 되어 특별한 능력을 보여주는 로봇 아빠가 자랑스럽다. 그러나 갑자기 무시무시한 모습으로 변하는 로봇 아빠와 함께 떡잎마을을 무너뜨리려는 거대한 음모가 드러나는데… 과연, 로봇 아빠와 짱구 가족은 마을의 평화를 지켜낼 수 있을까?	F	https://movie.naver.com/movie/bi/mi/basic.nhn?code=120788	https://movie-phinf.pstatic.net/20150402_280/1427965290342KSq3u_JPEG/movie_image.jpg?type=f67
9	그날 본 꽃의 이름을 우리는 아직 모른다	어린 시절 단짝 친구들인 ‘초평화 버스터즈’ 6인방. 감춰 두었던 첫사랑을 수줍게 고백한 어느 여름날, ‘멘마’가 갑작스레 모두의 곁을 떠난다. 이후 각자 상처와 짐을 안은 채 뿔뿔이 흩어진 친구들. 그리고 5년 후, 팀의 리더였던 ‘진땅’의 앞에 ‘멘마’가 나타난다. 모두와 함께 소원을 이루고 싶다는 그녀. ‘진땅’은 그녀가 진심으로 바라는 소원을 찾기 위해 멀어졌던 친구들을 다시 찾게 된다. 무심코 준 상처, 전하지 못한 진심. 내일 말하면 된다고 생각하다가 모든 것을 놓쳐버린 그들에게 다시 찾아 온 기회. 친구들 사이에 멈춰있던 시간이 다시 흐르기 시작한다. 과연 이들은 ‘멘마’의 소원을 이루고 한여름의 첫사랑을 되돌릴 수 있을까?	M	https://movie.naver.com/movie/bi/mi/basic.nhn?code=113315	https://movie-phinf.pstatic.net/20140205_291/1391563581958bjTgW_JPEG/movie_image.jpg?type=f67
